Date,Tournament,Surface,Rd,Rk,vRk,Player,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
13‑Aug‑2018,Cincinnati Masters,Hard,R32,18,21,(15)Kyrgios d. Borna Coric [CRO],7-6(1) 0-6 6-3,0.93,17.80%,2.20%,64.40%,70.70%,53.10%,6月9日,1:47
13‑Aug‑2018,Cincinnati Masters,Hard,R64,18,77,(15)Kyrgios d. (Q)Denis Kudla [USA],6-7(2) 7-5 7-6(9),0.76,33.60%,8.60%,56.90%,87.90%,54.00%,2月2日,1:58
6‑Aug‑2018,Canada Masters,Hard,R64,17,195,(WC)Stanislas Wawrinka [SUI] d. (16)Kyrgios,1-6 7-5 7-5,1.2,28.60%,5.50%,60.40%,85.50%,47.20%,2月4日,2:03
23‑Jul‑2018,Atlanta,Hard,QF,18,73,Cameron Norrie [GBR] d. (2)Kyrgios,7-5 3-0 RET,0.65,7.50%,2.50%,50.00%,75.00%,50.00%,1月3日,0:52
23‑Jul‑2018,Atlanta,Hard,R16,18,164,(2)Kyrgios d. (Q)Noah Rubin [USA],7-5 6-2,2.42,32.60%,2.20%,60.90%,85.70%,77.80%,1月2日,0:56
2‑Jul‑2018,Wimbledon,Grass,R32,18,28,(24)Kei Nishikori [JPN] d. (15)Kyrgios,6-1 7-6(3) 6-4,0.65,16.00%,4.90%,64.20%,73.10%,48.30%,4月8日,1:37
2‑Jul‑2018,Wimbledon,Grass,R64,18,43,(15)Kyrgios d. Robin Haase [NED],6-3 6-4 7-5,1.76,23.80%,11.30%,58.80%,91.50%,54.50%,2月4日,1:36
2‑Jul‑2018,Wimbledon,Grass,R128,18,92,(15)Kyrgios d. Denis Istomin [UZB],7-6(3) 7-6(4) 6-7(5) 6-3,0.91,29.20%,4.20%,72.90%,82.90%,56.40%,5月5日,2:34
18‑Jun‑2018,London,Grass,SF,21,6,(1)Marin Cilic [CRO] d. Kyrgios,7-6(3) 7-6(4),0.75,22.50%,4.20%,73.20%,80.80%,68.40%,2月2日,1:26
18‑Jun‑2018,London,Grass,QF,21,37,Kyrgios d. Feliciano Lopez [ESP],7-6(5) 7-6(3),0.76,36.00%,4.50%,74.20%,80.30%,47.80%,3月3日,1:35
18‑Jun‑2018,London,Grass,R16,21,17,Kyrgios d. (7)Kyle Edmund [GBR],7-6(3) 6-7(5) 6-3,1.37,31.40%,5.90%,70.60%,87.50%,53.30%,1月1日,2:11
18‑Jun‑2018,London,Grass,R32,21,156,Kyrgios d. Andy Murray [GBR],2-6 7-6(4) 7-5,1.06,16.40%,10.00%,60.00%,83.30%,31.80%,7月11日,2:39
11‑Jun‑2018,Stuttgart,Grass,SF,24,2,(1)Roger Federer [SUI] d. (4)Kyrgios,6-7(2) 6-2 7-6(5),0.55,20.50%,7.10%,70.50%,73.40%,48.50%,2月4日,1:51
11‑Jun‑2018,Stuttgart,Grass,QF,24,33,(4)Kyrgios d. (8)Feliciano Lopez [ESP],6-4 3-6 6-3,1.15,27.40%,6.80%,67.10%,85.70%,58.30%,0/1,1:22
11‑Jun‑2018,Stuttgart,Grass,R16,24,50,(4)Kyrgios d. Maximilian Marterer [GER],6-4 4-6 6-3,1.13,23.30%,7.00%,62.80%,79.60%,53.10%,3月4日,1:27
9‑Apr‑2018,Houston,Clay,QF,24,88,Ivo Karlovic [CRO] d. (4)Kyrgios,3-6 6-2 6-3,0.68,3.70%,1.20%,67.90%,61.80%,61.50%,5月8日,1:32
9‑Apr‑2018,Houston,Clay,R16,24,108,(4)Kyrgios d. Bjorn Fratangelo [USA],6-7(2) 6-1 6-2,1.18,21.20%,8.10%,53.50%,77.40%,58.70%,2月2日,1:32
19‑Mar‑2018,Miami Masters,Hard,R16,20,5,(4)Alexander Zverev [GER] d. (17)Kyrgios,6-4 6-4,0.55,16.90%,1.50%,61.50%,60.00%,52.00%,1月4日,1:11
19‑Mar‑2018,Miami Masters,Hard,R32,20,18,(17)Kyrgios d. (15)Fabio Fognini [ITA],6-3 6-3,1.21,16.40%,9.10%,52.70%,75.90%,61.50%,0/0,1:06
19‑Mar‑2018,Miami Masters,Hard,R64,20,108,(17)Kyrgios d. Dusan Lajovic [SRB],6-4 6-1,3.34,18.90%,0.00%,67.60%,88.00%,83.30%,0/0,0:49
2‑Feb‑2018,Davis Cup WG R1: AUS vs GER,Hard,RR,14,58,Kyrgios d. Jan Lennard Struff [GER],6-4 6-4 6-4,1.64,25.60%,1.20%,69.50%,86.00%,60.00%,1月1日,1:37
